Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Equatorial Guinea,GNQ,76.87,77.1,102.64,99.78,101.97,103.27,105.27,103.98,103.56,104.28,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Eritrea,ERI,..,76.04,99.32,99.96,100.67,100.48,100.24,100.42,100.35,100.58,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Estonia,EST,..,73.79,122.83,81.3,103.72,71.14,120.29,122.38,101.94,118.97,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Eswatini,SWZ,87.74,77.46,100.11,98.18,102.14,104.89,106.06,105.5,105.66,107.49,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Ethiopia,ETH,..,36.45,100.99,103.03,106.37,105.88,108.07,116.89,114.29,116.51,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Faroe Islands,FRO,93.62,95.87,89.84,100.83,98.28,98,98.13,98.75,99.07,99.4,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Fiji,FJI,177.85,161.63,107.8,85.03,97.46,103.25,109.47,115.1,110.62,125.17,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Finland,FIN,115.8,108.7,97.31,96.07,93.69,80.26,106.37,92.98,78.32,98.69,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,France,FRA,98.6,103.98,103.95,90.75,103.14,95.93,98.39,89.97,96.52,94.72,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,French Polynesia,PYF,101.28,90.43,97.92,100.97,101.15,102.16,101.91,102.02,102.15,102.19,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Gabon,GAB,57.93,72.84,100.09,100.82,102.14,102.92,104.09,104.02,105.3,106.23,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Gambia, The",GMB,71.24,125.44,110.52,92.17,76.03,46.9,56.47,59.57,63.04,70.82,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Georgia,GEO,..,133.87,101.65,97.56,81.82,103.77,107.22,126.5,126.82,119.42,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Germany,DEU,89.56,101.29,97.52,94.87,95.45,81.78,88.69,90.66,90.39,91.48,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Ghana,GHA,23.28,51.53,99.62,101.05,108.02,113.29,119.88,123.03,131.73,137.06,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Greece,GRC,88.9,114.94,104.59,98.73,100.6,99.7,102.71,104.47,101.56,94.17,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Grenada,GRD,120.9,116.47,104.54,101.1,92.93,92.28,84.68,81.46,85.42,75.86,..,..,,,,
